date,description,type
2018-01-01,元旦,联邦法定节假日
2018-01-15,马丁·路德·金日,联邦法定节假日
2018-02-14,情人节,传统民俗节假日
2018-02-19,总统日,联邦法定节假日
2018-03-17,圣帕特里克节,传统民俗节假日
2018-03-30,耶稣受难日,宗教传统节假日
2018-04-01,复活节,宗教传统节假日
2018-05-13,母亲节,民俗亲情节假日
2018-05-28,阵亡将士纪念日,联邦法定节假日
2018-06-17,父亲节,民俗亲情节假日
2018-07-04,独立日,联邦法定节假日
2018-09-03,劳动节,联邦法定节假日
2018-10-08,哥伦布日,联邦法定节假日
2018-10-31,万圣节,传统民俗节假日
2018-11-11,退伍军人节,联邦法定节假日
2018-11-22,感恩节,联邦法定节假日
2018-12-25,圣诞节,联邦法定节假日
2019-01-01,元旦,联邦法定节假日
2019-01-21,马丁·路德·金日,联邦法定节假日
2019-02-14,情人节,传统民俗节假日
2019-02-18,总统日,联邦法定节假日
2019-03-17,圣帕特里克节,传统民俗节假日
2019-04-19,耶稣受难日,宗教传统节假日
2019-04-21,复活节,宗教传统节假日
2019-05-12,母亲节,民俗亲情节假日
2019-05-27,阵亡将士纪念日,联邦法定节假日
2019-06-16,父亲节,民俗亲情节假日
2019-07-04,独立日,联邦法定节假日
2019-09-02,劳动节,联邦法定节假日
2019-10-14,哥伦布日,联邦法定节假日
2019-10-31,万圣节,传统民俗节假日
2019-11-11,退伍军人节,联邦法定节假日
2019-11-28,感恩节,联邦法定节假日
2019-12-25,圣诞节,联邦法定节假日
2020-01-01,元旦,联邦法定节假日
2020-01-20,马丁·路德·金日,联邦法定节假日
2020-02-14,情人节,传统民俗节假日
2020-02-17,总统日,联邦法定节假日
2020-03-17,圣帕特里克节,传统民俗节假日
2020-04-10,耶稣受难日,宗教传统节假日
2020-04-12,复活节,宗教传统节假日
2020-05-10,母亲节,民俗亲情节假日
2020-05-25,阵亡将士纪念日,联邦法定节假日
2020-06-21,父亲节,民俗亲情节假日
2020-07-04,独立日,联邦法定节假日
2020-09-07,劳动节,联邦法定节假日
2020-10-12,哥伦布日,联邦法定节假日
2020-10-31,万圣节,传统民俗节假日
2020-11-11,退伍军人节,联邦法定节假日
2020-11-26,感恩节,联邦法定节假日
2020-12-25,圣诞节,联邦法定节假日
2021-01-01,元旦,联邦法定节假日
2021-01-18,马丁·路德·金日,联邦法定节假日
2021-02-14,情人节,传统民俗节假日
2021-02-15,总统日,联邦法定节假日
2021-03-17,圣帕特里克节,传统民俗节假日
2021-04-02,耶稣受难日,宗教传统节假日
2021-04-04,复活节,宗教传统节假日
2021-05-09,母亲节,民俗亲情节假日
2021-05-31,阵亡将士纪念日,联邦法定节假日
2021-06-20,父亲节,民俗亲情节假日
2021-07-04,独立日,联邦法定节假日
2021-09-06,劳动节,联邦法定节假日
2021-10-11,哥伦布日,联邦法定节假日
2021-10-31,万圣节,传统民俗节假日
2021-11-11,退伍军人节,联邦法定节假日
2021-11-25,感恩节,联邦法定节假日
2021-12-25,圣诞节,联邦法定节假日
