genre,元旦,六月节,劳动节,哥伦布日,圣帕特里克节,圣诞节,复活节,总统日,情人节,母亲节,独立日,耶稣受难日,阵亡将士纪念日,马丁·路德·金日
剧情,60,119,196,10,30,1,18,80,5,13,69,48,101,165
喜剧,30,67,111,0,27,0,14,36,0,5,51,14,33,54
爱情,17,53,58,0,13,0,12,26,0,5,24,11,34,35
惊悚,14,33,56,0,8,0,1,27,0,1,28,11,31,40
恐怖,7,66,29,0,5,0,3,23,0,0,19,5,28,13
动作,15,33,29,1,9,0,1,19,0,2,15,4,35,33
科幻,16,76,36,1,7,0,4,7,0,3,7,5,18,9
犯罪,12,26,46,0,8,0,1,17,0,2,16,9,17,28
悬疑,12,66,31,0,1,0,2,17,0,1,13,4,8,23
冒险,11,52,25,1,4,0,2,11,0,5,16,6,20,12
奇幻,10,13,25,0,3,0,5,17,0,2,6,4,15,11
历史,7,33,13,0,0,0,3,0,0,5,7,2,12,10
战争,6,31,2,0,0,0,0,3,0,3,6,0,10,14
家庭,6,8,15,0,2,0,1,2,0,2,3,3,8,4
动画,5,3,3,0,0,0,0,2,0,2,3,3,7,4
音乐,3,3,8,0,0,0,1,2,0,1,3,3,4,4
西部,6,1,5,0,0,0,0,0,0,1,2,0,4,0
纪录,0,5,4,0,0,0,0,0,0,0,0,0,2,5
电视电影,0,0,0,0,0,0,0,0,0,0,1,0,0,0
