genre,元旦,六月节,劳动节,圣帕特里克节,复活节,总统日,情人节,母亲节,独立日,耶稣受难日,阵亡将士纪念日,马丁·路德·金日
剧情,7,60,64,3,19,46,21,24,18,4,69,25
喜剧,1,22,45,1,15,29,13,7,9,1,23,12
惊悚,10,24,12,1,16,5,2,18,16,9,21,4
爱情,0,15,32,0,7,30,16,0,4,1,7,13
恐怖,5,19,6,1,9,10,2,18,16,8,27,1
悬疑,7,15,5,2,11,1,0,12,11,1,15,3
奇幻,0,1,19,1,2,12,4,7,6,0,20,4
科幻,3,9,5,0,3,10,3,12,4,3,7,5
犯罪,2,7,11,1,12,4,0,4,5,4,12,1
动作,3,10,7,0,8,2,2,3,4,4,9,2
冒险,0,4,24,0,1,3,1,5,0,1,3,3
家庭,0,3,20,0,0,4,0,0,0,0,4,3
动画,3,1,12,0,0,2,0,0,0,0,1,1
纪录,0,7,2,0,0,1,0,0,0,1,4,3
音乐,0,0,7,1,0,2,2,1,2,0,0,1
历史,0,2,0,0,1,0,1,2,0,0,2,2
战争,0,0,1,0,1,2,1,1,1,0,2,0
西部,0,0,3,0,0,0,0,0,1,1,0,0
