genre,元旦,六月节,劳动节,哥伦布日,圣帕特里克节,圣诞节,复活节,总统日,情人节,母亲节,独立日,耶稣受难日,阵亡将士纪念日,马丁·路德·金日
剧情,606,852,953,1,216,2,300,534,104,239,825,202,814,858
惊悚,293,433,524,1,82,0,157,205,28,136,466,104,367,350
喜剧,205,337,323,0,81,0,92,198,30,70,308,59,256,299
犯罪,207,280,335,0,65,0,102,149,20,91,246,50,233,204
动作,161,298,294,0,59,0,68,108,20,74,255,61,232,241
恐怖,156,220,289,1,48,0,87,109,14,54,313,92,245,227
悬疑,149,247,286,0,51,0,81,97,16,62,246,54,169,182
科幻,156,195,248,0,49,0,86,98,31,78,220,71,181,163
爱情,124,204,196,0,46,0,65,136,24,34,161,37,156,193
冒险,111,212,184,1,36,0,54,83,10,37,190,33,162,169
奇幻,94,96,158,1,21,0,50,100,14,28,145,22,101,135
历史,65,71,89,0,3,0,16,41,9,12,58,10,72,74
战争,54,86,73,0,6,0,12,33,13,11,48,10,57,60
西部,30,98,31,0,5,0,12,9,0,11,58,7,32,123
家庭,29,51,52,0,14,0,19,36,3,8,36,7,49,42
动画,42,35,31,0,15,0,15,29,6,5,23,4,35,40
音乐,34,24,24,0,12,0,9,15,2,6,28,5,22,29
纪录,22,21,28,0,6,0,5,13,2,6,17,1,27,31
电视电影,1,1,1,0,0,0,1,1,0,2,0,0,4,1
